,meal_id,meal_name,meal_created_at,meal_updated_at,meal_category,day_id,meal_price_student,meal_price_employee,meal_price_pupil,meal_price_other,canteen_id,date,days_created_at,days_updated_at,date_correct,canteen_name,canteen_address,canteen_created_at,canteen_updated_at,canteen_last_fetched_at,canteen_longitude,canteen_latitude,canteen_city,canteen_state,geometry,meal_super_category,notes_list,notes_count,notes_list_90,notes_count_90
842019,9200101,Kleine Salatschale,2021-12-21 07:10:37.560759,2021-12-21 07:10:37.560759,Salate,732169,0.65,1.3,,1.45,40,2022-01-06,2021-12-21 07:10:37.542994,2021-12-21 07:10:37.542994,2022-01-06,Mensa KHS Weißensee,"Bühringstraße 20, 13086 Berlin",2012-08-19 00:52:27.780782,2021-11-13 19:12:53.912160,2022-03-20 07:12:16.217805,13.4393999,52.55804,Berlin,active,POINT (13.4393999 52.55804),salad,grün (Ampel);vegan;Süßungsmittel;Sellerie,4,vegan;Süßungsmittel;Sellerie;grün (Ampel),4
3681494,2937998,MSC Schollenfilet gebacken mit  Dillmayonnaise  Kartoffeln,2017-11-19 07:03:45.387438,2017-11-19 07:03:45.387438,Fisch MSC Fisch,271423,2.76,3.76,,5.52,256,2017-12-01,2017-11-19 07:03:45.365820,2017-11-19 07:03:45.365820,2017-12-01,Erlangen Südmensa,"Erwin-Rommel-Straße 60, 91058 Erlangen",2016-02-23 12:41:16.159930,2016-04-13 18:53:05.315704,2023-07-24 08:13:51.274194,11.0290237490766,49.57414515,Erlangen,active,POINT (11.0290237490766 49.57414515),main_dish,mit Weizen;mit Milch/Laktose;mit Senf;mit Eier;mit Soja,5,mit Weizen;mit Milch/Laktose;mit Soja;mit Eier,4
2909703,2936564,dazu Kartoffel-Sahnepüree,2017-11-18 07:09:38.135937,2017-11-18 07:09:38.135937,Front Cooking,271228,1.3,1.35,,,168,2017-11-20,2017-11-18 07:09:38.059114,2017-11-18 07:09:38.059114,2017-11-20,Mensa Neustadtswall,"Neustadtswall 33, 28199 Bremen, Germany",2013-07-08 13:07:41.628728,2015-07-04 00:47:01.643595,2020-03-13 07:14:33.220838,8.793203830718994,53.07283522613672,Bremen,active,POINT (8.793203830718994 53.07283522613672),main_dish,Vegetarisch;mit Farbstoff;Milch und Milchprodukte (inkl. Laktose),3,mit Farbstoff;Vegetarisch;Milch und Milchprodukte (inkl. Laktose),3
179470,4049164,Grüne Bohnen,2019-03-12 07:01:26.688311,2019-03-12 07:01:26.688311,Beilagen,405795,0.65,1.3,,1.45,27,2019-03-21,2019-03-01 07:00:20.261290,2019-03-01 07:00:20.261290,2019-03-21,Mensa FU II Otto-von-Simson-Straße,"Otto-von-Simson-Straße 26, 14195 Berlin",2012-08-19 00:19:40.939057,2021-11-13 19:12:51.036131,2022-03-20 07:11:19.639054,13.2894363,52.4521863,Berlin,active,POINT (13.2894363 52.4521863),side_dish,grün (Ampel);vegan;bio,3,vegan;bio;grün (Ampel),3
1437056,501379,Indisches Karottencurry (vegan),2013-06-24 06:18:32.903690,2013-06-24 06:18:32.903690,Vegetarisches Menü,35474,2.1,,,3.6,96,2013-07-04,2013-06-24 06:18:32.898630,2013-06-24 06:18:32.898630,2013-07-04,"Aachen, Mensa Vita","Helmertweg 1, 52074 Aachen",2012-08-21 00:07:09.217858,2015-07-04 00:46:58.641860,2023-08-05 14:00:20.396775,6.047630310058594,50.77845377446704,Aachen,active,POINT (6.047630310058594 50.77845377446704),main_dish,,0,,0
3773123,4966188,Verschiedene Dessertvariationen,2020-02-28 07:06:22.541573,2020-02-28 07:06:22.541573,Dessertauswahl,524244,0.9,1.1,,1.1,349,2020-03-05,2020-02-28 07:06:22.479553,2020-02-28 07:06:22.479553,2020-03-05,"Kunstakademie, Düsseldorf","Eiskellerstraße 1, 40213 Düsseldorf",2017-01-06 15:05:41.009390,2017-01-06 15:20:22.289744,2023-08-05 14:00:55.745839,6.7738521,51.2305377,Düsseldorf,active,POINT (6.7738521 51.2305377),dessert,Bitte beachten Sie die Auszeichnung am Produkt,1,Bitte beachten Sie die Auszeichnung am Produkt,1
130072,595290,Preiselbeer-Joghurt,2013-09-28 06:02:42.220520,2013-10-10 06:03:09.735542,Desserts,46246,1.0,1.0,,1.0,25,2013-10-11,2013-09-28 06:02:42.199642,2013-09-28 06:02:42.199642,2013-10-11,Mensa ASH Berlin Hellersdorf,"Alice-Salomon-Platz 5, 12627 Berlin",2012-08-19 00:17:32.150179,2021-11-10 16:42:22.380438,2021-08-09 06:09:50.156986,13.605971932411192,52.53727475746378,Berlin,archived,POINT (13.60597193241119 52.53727475746378),dessert,,0,,0
3955551,8437341,Salzkartoffeln,2021-10-11 07:30:28.572752,2021-10-11 07:30:28.572752,Beilage,701180,0.9,1.25,,,396,2021-10-18,2021-10-11 07:30:28.543842,2021-10-11 07:30:28.543842,2021-10-18,"Esslingen, Mensa Stadtmitte - Kanalstraße","Esslingen, Mensa Stadtmitte - Kanalstraße Kanalstraße 27 73728 Esslingen",2017-08-22 21:22:36.565167,2017-08-22 21:24:34.389613,2023-08-05 09:20:01.961820,9.3100086,48.7386942,Esslingen,active,POINT (9.3100086 48.7386942),side_dish,vegan,1,vegan,1
4131530,5084277,Kesselgulasch mit Brötchen,2020-08-08 06:13:43.890492,2020-08-08 06:13:43.890492,Mittag Ausgabe A,560733,1.6,,,,843,2020-08-20,2020-08-08 06:13:43.881305,2020-08-08 06:13:43.881305,2020-08-20,Mensa Blechhammer,"Blechhammer 9a, 98574 Schmalkalden",2019-02-09 15:23:05.286585,2019-02-09 15:25:44.759510,2023-08-05 08:06:25.472946,10.4640081,50.7183167,Schmalkalden,active,POINT (10.4640081 50.7183167),main_dish,enthält Milch- und Milchzucker;enthält Weizen;Rindfleisch,3,Rindfleisch;enthält Weizen;enthält Milch- und Milchzucker,3
1303526,398995,Rindfleisch mit Meerrettich,2013-03-20 07:11:00.436472,2013-03-20 07:11:00.436472,Auswahlessen 2,24491,3.55,4.35,,5.45,108,2013-03-28,2013-03-17 07:08:33.904183,2013-03-20 07:11:00.370331,2013-03-28,"Würzburg, Mensa am Hubland","Am Hubland 16I, 97074 Würzburg",2012-08-22 08:46:43.194269,2019-06-02 16:19:54.816030,2018-02-14 13:00:51.586015,9.965962171554564,49.77968451933436,Würzburg,archived,POINT (9.965962171554564 49.77968451933436),main_dish,Rind,1,Rind,1
2381116,1700742,"Erbsen, natur",2016-01-01 07:04:24.799995,2016-01-01 07:04:24.799995,Beilagen,152243,,,,,134,2016-01-19,2016-01-01 07:04:24.760066,2016-01-01 07:04:24.760066,2016-01-19,Mensa Martinsried,"Großhaderner Straße 6, Planegg-Martinsried ",2012-08-26 02:54:56.894180,2019-11-13 20:35:18.008100,2022-02-24 13:03:28.690130,11.4532863,48.1090332,München,active,POINT (11.4532863 48.1090332),side_dish,fleischloses Gericht,1,fleischloses Gericht,1
2925012,3029863,Tagessuppe Marinierte Hähnchenbrust in BBQ-Sauce dazu Pommes frites & Sourcreme-Dip,2018-01-13 08:10:24.877238,2018-01-13 08:10:24.877238,Essen I,283234,2.35,4.35,,,169,2018-01-15,2018-01-13 08:10:24.855225,2018-01-13 08:10:24.855225,2018-01-15,Mensa Werderstrasse,"Werderstrasse 73, 28199 Bremen",2013-07-08 13:47:28.747532,2015-07-04 00:47:06.562337,2020-03-13 07:12:03.287955,8.806502223014832,53.069692746347016,Bremen,active,POINT (8.806502223014832 53.06969274634702),main_dish,Geflügel;Weizen;Milch und Milchprodukte (inkl. Laktose);mit Süßungsmitteln;Sellerie und Sellerieerzeugnisse;mit Farbstoff;Ei und Eierprodukte,7,Sellerie und Sellerieerzeugnisse;Geflügel;mit Süßungsmitteln;mit Farbstoff;Milch und Milchprodukte (inkl. Laktose);Ei und Eierprodukte;Weizen,7
3445418,2523377,Seelachs Tacco mit Tomaten-Salsa Petersilienkartoffeln,2017-03-24 05:00:04.676445,2017-03-24 05:00:04.676445,Mittagessen,226527,3.0,4.2,,5.05,291,2017-03-30,2017-03-24 05:00:04.638986,2017-03-24 05:00:04.638986,2017-03-30,"Kiel, Mensa I am Westring","Westring 385, 24118 Kiel, Germany",2016-05-29 15:25:32.480391,2020-12-31 10:28:56.394681,2020-11-09 05:00:07.091662,10.1228998,54.337474,Kiel,archived,POINT (10.1228998 54.337474),main_dish,Glutenhaltiges Getreide;Fisch-/erzeugnisse;Milch/ -erzeugnisse (inkl. Laktose),3,Glutenhaltiges Getreide,1
4187254,4137039,"Ravioli mit Veganem Tofu-Dip , dazu 3 Beilagen nach Wahl",2019-04-11 09:07:56.054991,2019-04-11 10:07:34.621763,Vegetarisches Menü,419084,2.5,4.0,,4.5,854,2019-04-11,2019-04-08 06:20:13.217108,2019-04-08 06:20:13.217108,2019-04-11,Mensa Max-Ophüls-Platz,"Max-Ophuels-Platz 2, 44137 Dortmund, Germany",2019-02-13 18:32:55.053820,2019-03-25 07:21:35.778566,2020-06-10 12:05:06.630638,7.453349749125,51.49880725,Dortmund / Nordrhein-Westfalen,active,POINT (7.453349749125 51.49880725),main_dish,Vegane Speise;Kinderteller;Gluten aus Weizen & Erzeugnisse;Soja & Erzeugnisse,4,Gluten aus Weizen & Erzeugnisse;Soja & Erzeugnisse;Vegane Speise,3
2024011,3020104,Cordon bleu | Rahmsauce,2018-01-08 10:01:03.376931,2018-01-08 10:01:03.376931,Klassiker,282533,2.6,,,4.1,97,2018-01-15,2018-01-08 10:01:03.296804,2018-01-08 10:01:03.296804,2018-01-15,"Aachen, Mensa Bayernallee","Bayernallee 9, 52066 Aachen",2012-08-21 00:08:45.626560,2015-07-04 00:47:00.851979,2023-08-05 14:04:37.386913,6.096993684768677,50.75570127243687,Aachen,active,POINT (6.096993684768677 50.75570127243687),main_dish,Farbstoff;Konservierungsstoff;Antioxidationsmittel;Phosphat;Gluten;Weizen;Milch,7,Farbstoff;Konservierungsstoff;Antioxidationsmittel;Phosphat;Milch;Gluten;Weizen,7
3425728,12780541,Kichererbsen-Kokos-Korma dazu Mandelreis,2022-11-09 09:01:21.904786,2022-11-09 09:01:21.904786,Hauptessen,915619,1.7,4.0,,5.2,238,2022-11-16,2022-11-09 09:01:21.851079,2022-11-09 09:01:21.851079,2022-11-16,Heidemensa,"Theodor-Lieser-Str. 7, 06120 Halle",2015-07-08 23:27:33.761914,2019-06-01 10:25:32.021252,2023-08-05 09:00:41.354836,11.9369368,51.4950807,Halle (Saale),active,POINT (11.9369368 51.4950807),main_dish,enthält Mandeln;vegan,2,vegan,1
3806814,7826408,Träumereien,2021-06-22 07:30:16.486030,2021-06-22 07:30:16.486030,Buffet,670727,0.75,1.15,,1.9,282,2021-07-06,2021-06-22 07:30:16.480970,2021-06-22 07:30:16.480970,2021-07-06,"Heidelberg, zeughaus-Mensa im Marstall",zeughaus-Mensa Marstallhof 3 69117 Heidelberg,2016-05-04 18:44:59.606556,2018-12-13 17:06:44.075265,2023-08-05 09:20:05.012431,8.703958,49.412862,Heidelberg,active,POINT (8.703958 49.412862),mix,"Sweet delights
",1,,0
2188957,656534,Maultaschen mit Gemüsefüllung und Kartoffelsalat dazu Bohnensalat,2013-11-18 07:07:01.482661,2013-11-18 07:07:01.482661,Tagesgericht,52674,1.95,3.15,,3.95,116,2013-11-20,2013-11-18 07:07:01.473211,2013-11-18 07:07:01.473211,2013-11-20,"Marburg, Mo's Diner","Hans-Meerwein-Straße, 35043 Marburg ",2012-08-26 02:01:20.236984,2015-07-04 00:47:07.021694,2023-06-15 12:00:29.184149,8.81076693534851,50.80904667871219,Marburg,active,POINT (8.810766935348511 50.80904667871219),main_dish,mit Süßungsmittel,1,mit Süßungsmittel,1
2054859,3955666,Mais oder Mischsalat,2019-02-04 07:08:59.190188,2019-02-04 07:08:59.190188,Nebenbeilage,397146,,,,,95,2019-02-12,2019-02-04 07:08:59.127181,2019-02-04 07:08:59.127181,2019-02-12,"Aachen, Mensa Ahorn","Ahornstr. 55, 52074 Aachen",2012-08-21 00:05:56.546333,2015-07-04 00:47:05.334791,2023-08-05 14:05:09.947658,6.059550046920776,50.77943745353026,Aachen,active,POINT (6.059550046920776 50.77943745353026),side_dish,,0,,0
3484433,2371951,Pasta Asciutta,2017-01-03 07:11:06.170170,2017-01-03 07:11:06.170170,Hauptgerichte,211702,2.2,2.9,,3.9,316,2017-01-12,2017-01-03 07:11:06.147734,2017-01-03 07:11:06.147734,2017-01-12,Cafeteria Chemie Regensburg,"Universitätsstraße 31, 93053 Regensburg, Germany",2016-10-13 16:08:04.776212,2016-10-13 16:39:49.926607,2023-08-05 08:06:53.525905,12.0956951379776,48.995730614968735,Regensburg,active,POINT (12.0956951379776 48.99573061496874),main_dish,mit Antioxidationsmittel;Gluten;Eier;Milch und Milchprodukte;Sellerie;Weizen;Schweinefleisch;Rindfleisch,8,Rindfleisch;Schweinefleisch;mit Antioxidationsmittel;Sellerie;Eier;Gluten;Milch und Milchprodukte;Weizen,8
3860500,4293182,Quarkspeise ,2019-06-09 06:11:49.350550,2019-06-09 06:11:49.350550, Dessert 1 ,439428,0.45,0.9,,,799,2019-06-17,2019-06-09 06:11:49.305930,2019-06-09 06:11:49.305930,2019-06-17,Mensa Vechta,"Universitätsstraße 3, 49377 Vechta, Deutschland",2018-09-22 13:55:40.362982,2018-09-22 13:58:59.100935,2020-01-19 07:11:36.126067,8.295176625251772,52.72031796232492,Vechta,active,POINT (8.295176625251772 52.72031796232492),unmatched,Ananassauce;g,2,,0
2850186,2707728,Frikadelle mit Paprikarahmsauce,2017-06-25 21:47:01.045078,2017-06-25 21:47:01.045078,Essen 2,243977,1.9,3.4,,4.0,156,2017-07-06,2017-06-25 21:47:01.008327,2017-06-25 21:47:01.008327,2017-07-06,Kantina Kreativa,"Johannes-Selenka-Platz 1, 38118 Braunschweig",2013-06-09 20:46:27.225800,2019-09-23 21:31:02.579247,2021-11-14 07:00:55.510766,10.5034393170219,52.2576831,Braunschweig,active,POINT (10.5034393170219 52.2576831),main_dish,Eier und Eiererzeugnisse;Milch und Milcherzeugnisse (einschließlich Laktose);Weizen;mit Eiklar;Schwein;Rind,6,Eier und Eiererzeugnisse;Rind;Schwein;Milch und Milcherzeugnisse (einschließlich Laktose);Weizen,5
2263138,165778,Nudeln,2012-09-02 06:09:36.624336,2012-09-02 06:09:36.624336,Beilagen,1710,,,,,139,2012-10-05,2012-09-02 14:23:31.582089,2012-09-02 14:23:31.582089,2012-10-05,Mensa Garching,"Lichtenbergstr. 2, Garching ",2012-08-26 03:02:30.522797,2019-11-13 20:34:12.186470,2022-02-24 13:03:59.171842,11.671160459518433,48.26736932004083,Garching b.München,active,POINT (11.67116045951843 48.26736932004083),side_dish,veganes Gericht,1,veganes Gericht,1
736110,3189559,Vier Eierpfannkuchen mit Apfelmus,2018-04-08 06:07:13.380915,2018-04-20 06:07:49.719700,Essen,306079,1.95,3.9,,4.3,30,2018-04-27,2018-04-08 06:07:13.190048,2018-04-08 06:07:13.190048,2018-04-27,Mensa HTW Treskowallee,"Treskowallee 8, 10318 Berlin",2012-08-19 00:21:18.924265,2021-11-13 19:12:49.872331,2022-03-20 07:12:03.656395,13.5264999,52.49222,Berlin,active,POINT (13.5264999 52.49222),main_dish,gelb (Ampel);vegetarisch;bio;Antioxidationsmittel;Eier;Milch und Milchprodukte (inkl. Laktose);Weizen,7,Antioxidationsmittel;vegetarisch;Eier;Milch und Milchprodukte (inkl. Laktose);Weizen;bio;gelb (Ampel),7
4187479,4227515,Pfirsiche,2019-05-13 08:08:39.303686,2019-05-13 09:08:28.997651,Beilagen,430683,0.5,0.7,,0.9,854,2019-05-13,2019-05-13 06:21:41.435357,2019-05-13 06:21:41.435357,2019-05-13,Mensa Max-Ophüls-Platz,"Max-Ophuels-Platz 2, 44137 Dortmund, Germany",2019-02-13 18:32:55.053820,2019-03-25 07:21:35.778566,2020-06-10 12:05:06.630638,7.453349749125,51.49880725,Dortmund / Nordrhein-Westfalen,active,POINT (7.453349749125 51.49880725),side_dish,Vegane Speise,1,Vegane Speise,1
1747088,3814744,Risi-Pisi,2018-11-26 07:11:02.548088,2018-11-26 07:11:02.548088,Wahlmenü (Beilage),377760,0.6,0.9,,1.1,13,2018-12-04,2018-11-26 07:11:02.460351,2018-11-26 07:11:02.460351,2018-12-04,"Hannover, Mensa/Cafeteria Blumhardtstraße","Blumhardtstraße 2, 30625 Hannover",2012-08-18 23:00:35.727888,2015-07-04 00:47:05.056673,2023-08-05 08:03:51.353264,9.805866479873655,52.373031593389626,Hannover,active,POINT (9.805866479873655 52.37303159338963),side_dish,ohne Fleisch;vegan;Natürlich frisch,3,vegan;ohne Fleisch;Natürlich frisch,3
550246,8122050,"Rostbrätel mit Zwiebeln und rustikalem Karottengemüse, dazu Bratkartoffeln",2021-09-27 06:11:22.131612,2021-09-27 06:11:22.131612,Angebot 3,690110,2.7,4.6,,4.6,62,2021-09-28,2021-09-20 06:10:36.687891,2021-09-20 06:10:36.687891,2021-09-28,Mensa Griebnitzsee,"August-Bebel-Str. 89, 14482 Potsdam",2012-08-19 01:46:49.752104,2015-07-04 00:47:07.948986,2023-08-05 16:00:07.316672,13.127814531326294,52.39353534469226,Potsdam,active,POINT (13.12781453132629 52.39353534469226),main_dish,Alkohol;Schwein,2,Schwein;Alkohol,2
150519,628193,Manzo con salsa di funghi  - Rinderschmorbraten,2013-10-22 06:09:23.551359,2013-10-24 06:03:13.947792,Essen,48007,1.75,2.8,,3.65,27,2013-10-24,2013-10-12 06:07:08.687365,2013-10-12 06:07:08.687365,2013-10-24,Mensa FU II Otto-von-Simson-Straße,"Otto-von-Simson-Straße 26, 14195 Berlin",2012-08-19 00:19:40.939057,2021-11-13 19:12:51.036131,2022-03-20 07:11:19.639054,13.2894363,52.4521863,Berlin,active,POINT (13.2894363 52.4521863),main_dish,,0,,0
743742,4635568,"Berliner Currywurst mit Pommes frites, gebratenen Zwiebeln, Tomatenketchup und Salat",2019-10-25 06:17:11.103366,2019-10-25 06:17:11.103366,Aktionen,483955,4.95,5.45,,5.95,30,2019-11-13,2019-10-25 06:17:10.994888,2019-10-25 06:17:10.994888,2019-11-13,Mensa HTW Treskowallee,"Treskowallee 8, 10318 Berlin",2012-08-19 00:21:18.924265,2021-11-13 19:12:49.872331,2022-03-20 07:12:03.656395,13.5264999,52.49222,Berlin,active,POINT (13.5264999 52.49222),main_dish,rot (Ampel);Schweinefleisch bzw. mit Gelatine vom Schwein;konserviert;Antioxidationsmittel;Süßungsmittel;Nitritpökelsalz;Senf,7,Antioxidationsmittel;Süßungsmittel;Nitritpökelsalz;Senf;konserviert;rot (Ampel),6
2473954,4854514,Rinderhacksteak mit Rahmsauce,2020-01-18 07:05:04.098024,2020-01-18 07:05:04.098024,Grill,511117,,,,,138,2020-02-26,2020-01-18 07:05:03.993358,2020-01-18 07:05:03.993358,2020-02-26,Mensa Arcisstraße,"Arcisstr. 17, München",2012-08-26 03:01:41.860229,2019-11-29 07:02:00.732985,2022-02-24 13:00:35.271334,11.56722,48.14742,München,active,POINT (11.56722 48.14742),main_dish,Rindfleisch;Schweinefleisch;Hühnerei;Glutenhaltiges Getreide;Gerste;Weizen;Knoblauch;Milch und Laktose;Senf;Soja,10,Glutenhaltiges Getreide;Rindfleisch;Schweinefleisch;Soja;Senf;Knoblauch;Weizen;Gerste;Milch und Laktose;Hühnerei,10
1083557,3865647,American-Dressing,2018-12-21 07:10:19.353311,2019-01-08 07:13:46.446800,Salate,384844,,,,,29,2019-01-11,2018-12-21 07:10:19.272987,2018-12-21 07:10:19.272987,2019-01-11,Mensa HWR Badensche Straße,"Badensche Str. 51, 10825 Berlin",2012-08-19 00:20:43.299401,2021-11-13 19:12:52.227616,2022-03-20 07:09:48.733492,13.3381344,52.485607,Berlin,active,POINT (13.3381344 52.485607),salad,rot (Ampel);vegan;Soja;Senf,4,vegan;Soja;Senf;rot (Ampel),4
1255499,1713318,Lauch-Champignon-Gemüse,2016-01-08 08:02:16.295805,2016-01-08 08:02:16.295805,Gemüsebeilagen,152058,0.5,0.9,,1.25,65,2016-01-08,2015-12-29 07:06:35.610772,2015-12-29 07:06:35.610772,2016-01-08,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",2012-08-19 02:01:33.420993,2015-07-04 00:47:07.999169,2023-08-05 14:00:45.584581,12.354791164398192,51.33860169398093,Leipzig,active,POINT (12.35479116439819 51.33860169398093),side_dish,,0,,0
3249197,14590514,Gemüse mit bunten Linsen,2023-03-15 08:05:23.292218,2023-03-15 08:05:23.292218,Essen 3,994175,3.1,4.7,,,211,2023-03-21,2023-03-15 08:05:23.271512,2023-03-15 08:05:23.271512,2023-03-21,Cafeteria Bockenheim,Bockenheimer Landstraße 133 60325 Frankfurt am Main ,2015-01-28 22:29:00.802866,2015-07-04 00:47:07.491658,2023-07-25 08:03:37.331422,8.6519106,50.1195207,Frankfurt am Main,active,POINT (8.651910600000001 50.1195207),main_dish,"und einer Beilage nach Wahl,;Vegan",2,Vegan,1
2227658,4856279,Saisonale Beilagensalate,2020-01-18 07:14:28.576923,2020-02-17 12:01:59.677732,Aktion,511275,,,,,140,2020-02-17,2020-01-18 07:14:28.437955,2020-01-18 07:14:28.437955,2020-02-17,Mensa Weihenstephan,"Am Forum 3, Freising",2012-08-26 03:03:24.730868,2019-11-13 20:33:22.095473,2022-02-24 13:01:04.022693,11.72344,48.39831,Freising,active,POINT (11.72344 48.39831),mix,vegan,1,vegan,1
3768493,4804794,Die gesunde Alternative,2020-01-01 07:07:03.824860,2020-01-01 07:07:03.824860,GreenCorner,505137,0.7,0.8,,0.8,344,2020-01-07,2020-01-01 07:07:03.756114,2020-01-01 07:07:03.756114,2020-01-07,"Mensa Frankenring, Krefeld","Frankenring 20, 47798 Krefeld",2017-01-06 15:02:08.078099,2017-01-06 15:20:26.145277,2023-08-05 14:06:41.880453,6.5543038,51.3252342,Düsseldorf,active,POINT (6.5543038 51.3252342),main_dish,Bitte beachten Sie die Auszeichnung am Produkt,1,Bitte beachten Sie die Auszeichnung am Produkt,1
3058805,2106293,Beerenjoghurt,2016-08-01 06:06:45.934235,2016-08-05 06:09:03.037676,Nachspeisen,187013,0.7,0.9,,1.3,194,2016-08-05,2016-08-01 06:06:45.772793,2016-08-01 06:06:45.772793,2016-08-05,Mensa UNI Regensburg,"Albertus-Magnus-Str. 2, 93051 Regensburg, Germany",2014-09-23 16:15:54.497789,2015-07-04 00:46:59.155237,2023-07-21 14:02:34.941151,12.092599868774412,48.99805706684204,Regensburg,active,POINT (12.09259986877441 48.99805706684204),dessert,Milch und Milchprodukte;vegetarisch,2,vegetarisch;Milch und Milchprodukte,2
4088322,8498309,Falafelbällchen auf Tabouleh mit Bulgur dazu Salat und Sojadressing,2021-10-28 06:05:31.008595,2021-10-28 06:05:31.008595,Vegan,706408,2.7,4.6,,6.0,838,2021-10-28,2021-10-27 06:05:16.918759,2021-10-27 06:05:16.918759,2021-10-28,Cafeteria EAH,"Moritz-von-Rohr-Straße 2, 07745 Jena",2019-02-09 15:22:56.307945,2019-02-09 15:57:18.515740,2023-08-05 08:02:11.098199,11.5704278,50.9188478,Jena,active,POINT (11.5704278 50.9188478),main_dish,ohne deklarationspflichtige Zusatzstoffe;Allergene: Soja;Knoblauch,3,Knoblauch;ohne deklarationspflichtige Zusatzstoffe,2
1436043,379328,Scaloppine vom Puter mit Zitronen-Estragonsauce,2013-02-26 12:13:00.610036,2013-02-26 12:13:00.610036,Empfehlung des Tages,22793,3.9,,,5.4,96,2013-03-08,2013-02-26 12:13:00.520648,2013-02-26 12:13:00.520648,2013-03-08,"Aachen, Mensa Vita","Helmertweg 1, 52074 Aachen",2012-08-21 00:07:09.217858,2015-07-04 00:46:58.641860,2023-08-05 14:00:20.396775,6.047630310058594,50.77845377446704,Aachen,active,POINT (6.047630310058594 50.77845377446704),main_dish,enthält Milcheiweiß;mit Konservierungsstoff;mit Geflügelanteil;mit Geschmacksverstärker,4,mit Konservierungsstoff;mit Geschmacksverstärker;enthält Milcheiweiß,3
2164687,591818,Tomatensalat,2013-09-24 06:01:58.505029,2013-09-24 06:01:58.505029,Beilagen,45993,,,,,136,2013-10-24,2013-09-24 06:01:58.446502,2013-09-24 06:01:58.446502,2013-10-24,StuBistro Schellingstraße,"Schellingstr. 3, München",2012-08-26 03:00:10.527686,2019-11-13 20:33:55.862084,2020-03-27 13:02:43.587563,11.5790907,48.1493011,München,active,POINT (11.5790907 48.1493011),side_dish,veganes Gericht,1,veganes Gericht,1
2525794,3701964,Salat,2018-10-15 06:01:12.248214,2018-10-25 06:00:32.365200,Gut & Günstig 1,361508,0.8,0.8,0.8,1.0,39,2018-11-27,2018-10-06 06:05:09.309181,2018-10-06 06:05:09.309181,2018-11-27,"Pforzheim, Mensa Holzgartenstraße","Holzgartenstraße, 75175 Pforzheim",2012-08-19 00:52:23.594639,2015-07-04 00:46:57.597757,2022-06-13 10:00:19.159884,8.707630634307861,48.88792264330292,Pforzheim,active,POINT (8.707630634307861 48.88792264330292),mix,,0,,0
3997102,4304443,Pappardelle,2019-06-12 07:30:37.896996,2019-06-12 07:30:37.896996,Beilage,441062,0.8,1.15,,,392,2019-06-17,2019-06-12 07:30:37.729240,2019-06-12 07:30:37.729240,2019-06-17,"Stuttgart Mitte, Mensa 1 (Holzgartenstraße)","Stuttgart Mitte, Mensa 1 (Holzgartenstraße) Holzgartenstraße 11 70174 Stuttgart",2017-08-22 21:22:34.261147,2017-08-22 21:23:09.592704,2023-08-05 09:20:00.630939,9.16966,48.78099,Stuttgart,active,POINT (9.16966 48.78099),side_dish,Weizen;mit Farbstoffen,2,Weizen;mit Farbstoffen,2
2016703,8463751,"Mediterrane Kartoffelpfanne mit Kirschtomaten, Paprika , dazu Bohnensalat (auch vegetarisch erhältlich mit Hirtenkäse)",2021-10-19 10:01:30.887568,2021-10-19 10:01:30.887568,Fertig 1,701083,2.35,4.27,,,87,2021-10-19,2021-10-11 06:13:50.078408,2021-10-11 06:13:50.078408,2021-10-19,"Dresden, Mensa Johannstadt","Marschnerstraße 38, 01307 Dresden",2012-08-19 14:30:52.830576,2021-03-01 07:19:50.609888,2023-08-05 14:00:48.269403,13.7596818,51.0517855,Dresden,active,POINT (13.7596818 51.0517855),unmatched,Menü ist vegan;enthält Knoblauch;Soja (F);Milch/Milchzucker (Laktose) (G),4,Menü ist vegan;enthält Knoblauch;Milch/Milchzucker (Laktose) (G),3
2838077,1823950,Pizza mit Hähnchenbrustfilet und Pfirsichen,2016-03-09 07:02:47.430935,2016-03-09 07:02:47.430935,Pizza,162639,4.2,5.9,,6.5,178,2016-03-09,2016-03-09 07:02:47.353319,2016-03-09 07:02:47.353319,2016-03-09,360 Grad,"Katharinenstr. 1, 38106 Braunschweig, Germany",2013-11-09 19:40:36.967233,2019-09-23 21:34:49.348894,2020-10-30 07:02:33.771564,10.526554584503174,52.27480135427685,Braunschweig,active,POINT (10.52655458450317 52.27480135427685),main_dish,Soja(bohnen) und daraus gewonnene Erzeugnisse;Milch und Milcherzeugnisse (einschließlich Laktose);glutenhaltiges Getreide;mit Farbstoff;mit Konservierungsstoff;Geflügel,6,Geflügel;mit Konservierungsstoff;mit Farbstoff;glutenhaltiges Getreide;Milch und Milcherzeugnisse (einschließlich Laktose);Soja(bohnen) und daraus gewonnene Erzeugnisse,6
