,meal_id,meal_name,notes_list,meal_category,date_correct,canteen_name,canteen_address,meal_super_category,notes_count,notes_list_90,notes_count_90
3729482,2770632,"Käsetortellini  (19,15,20a), Spinatsauce",Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;fleischlos (enthält tierische Erzeugnisse),Essen II,2017-08-16,"Mensa Universitätsstraße, Düsseldorf","Universitätsstraße 1, 40225 Düsseldorf",main_dish,3,mit Milcheiweiß;Milch und Milcherzeugnisse / enthält Laktose;fleischlos (enthält tierische Erzeugnisse),3
1080197,2481483,"Vanillegrießbrei mit Zimt, Zucker und Schattenmorellen",,Essen,2017-03-08,Mensa HWR Badensche Straße,"Badensche Str. 51, 10825 Berlin",main_dish,0,,0
1569126,2430710,"Grünkohl, Bregenwurst, Senf, Salzkartoffeln",Schweinefleisch;Konservierungsstoff;Antioxidationsmittel;Phosphat;Nitritpökelsalz;Glutenhaltiges Getreide;Senf und Senferzeugnisse,Tellergericht,2017-02-06,"Hannover, Contine","Königsworther Platz 1, 30167 Hannover",main_dish,7,Glutenhaltiges Getreide;Konservierungsstoff;Schweinefleisch;Senf und Senferzeugnisse;Antioxidationsmittel;Nitritpökelsalz;Phosphat,7
3499063,5255721,"Country-Pfanne, Falaffel, Paprika Kartoffelspalten Paprika-Maissoße",Weizen;Sellerie,Mittagessen,2020-10-30,Mensa und Cafeteria Lübeck,"Mönkhofer Weg 241, 23562 Lübeck, Germany",main_dish,2,Sellerie;Weizen,2
335214,10251122,"Hausgemachte Dinkelpasta, Linsenbolognese",ohne Fleisch;vegan;KlimaTeller,FRIENDS,2022-03-11,Mensa Caballus,"Bischofsholer Damm 15, 30173 Hannover",main_dish,3,vegan;ohne Fleisch,2
896483,2920588,"Schneller Teller: Hähnchenragout mit Erbsen und Möhren in Rahm, dazu Wildreis",Gefluegel,Auswahlessen 1,2017-11-17,"Würzburg, Mensa am Studentenhaus","Am Studentenhaus 1, 97070 Würzburg",main_dish,1,Gefluegel,1
2512595,1506984,Hackfleischragout vom Rind und saurer Sahne,,Aktionsstand,2015-09-21,"Cafeteria HfM ""Neuer Marstall""","Schlossplatz 7, 10178 Berlin",main_dish,0,,0
1416314,4302418,Pastavariation nach Angebot,glutenhaltiges Getreide;Soja;Sellerie;Milch/ Milchzucker;Senf;Eier;Veganes Gericht;mit Konservierungsstoff,Pastateller,2019-07-02,"Leipzig, Mensa am Park","Universitätsstraße 5, 04109 Leipzig",main_dish,8,mit Konservierungsstoff;Veganes Gericht;Milch/ Milchzucker;Soja;Sellerie;Senf;glutenhaltiges Getreide;Eier,8
1135828,192751,Schinkennudeln mit Käsesoße,Sellerie/-erzeugnisse;Konservierungsstoffe;mit Schwein;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Antioxidationsmittel,Gut und günstig,2012-09-20,"Hamburg, Mensa Bergedorf","Lohbrügger Kirchstraße 65, 21033 Hamburg",main_dish,7,Antioxidationsmittel;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;Konservierungsstoffe;mit Schwein,7
3749409,4651026,"Puten-Pfannen-Gyros, Zaziki",Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;mit Säurungsmittel,Essen I,2019-11-05,Mensa Campus Derendorf,"Münsterstraße 156, 40476 Düsseldorf",main_dish,3,mit Milcheiweiß;Milch und Milcherzeugnisse / enthält Laktose;mit Säurungsmittel,3
3181860,4164049,Schweine Cordon Bleu mit Twister,mit Farbstoff;mit Konservierungsstoff;mit Antioxidationsmittel;mit Phosphat;Gluten;Weizen;Milch und Milchprodukte;Schweinefleisch,Hauptgerichte,2019-04-29,Mensa UNI Passau,"Innstraße 29, 94032 Passau, Germany",main_dish,8,Schweinefleisch;mit Phosphat;mit Konservierungsstoff;mit Antioxidationsmittel;mit Farbstoff;Gluten;Milch und Milchprodukte;Weizen,8
